ID,Program Name,Link,Program Type,Project Name,Recipient Region (if applicable),MEA Award,Total Project Cost,Sector,Capacity,Capacity Units,Electricity Reduction (kWh),Technology,CO2 Emissions Reductions (metric tons),Date,Notes,Legislative District,Congressional District,County
BIO20080001,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16.79,16.79,Residential,559.8,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20080002,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.77,20.77,Residential,692.3,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20080003,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,18.55,18.55,Residential,618.4,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",13,,Howard
BIO20080004,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,19.54,19.54,Residential,651.3,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20080005,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,19.08,19.08,Residential,636,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",10,,Baltimore County
BIO20080006,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,21.23,21.23,Residential,707.6,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",9A,,Howard
BIO20080007,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,31.47,31.47,Residential,1049,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",42,,Baltimore County
BIO20080008,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,10.68,10.68,Residential,355.9,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20080009,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,44.75,44.75,Residential,1491.7,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",4B,,Frederick
BIO20080010,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.94,11.94,Residential,398.1,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",42,,Baltimore County
